"10-K","AEI Income & Growth Fund 26 LLC","1326321","2019-03-29","edgar/data/1326321/0001326321-19-000015.txt"
"10-K","AEI NET LEASE INCOME & GROWTH FUND XX LIMITED PARTNERSHIP","894245","2019-03-29","edgar/data/894245/0001326321-19-000010.txt"
"10-K","AEMETIS, INC","738214","2019-03-15","edgar/data/738214/0001654954-19-002756.txt"
"10-K","AEP Texas Inc.","1721781","2019-02-21","edgar/data/1721781/0000004904-19-000009.txt"
"10-K","AEP Transmission Company, LLC","1702494","2019-02-21","edgar/data/1702494/0000004904-19-000009.txt"
"10-K","AERIE PHARMACEUTICALS INC","1337553","2019-03-01","edgar/data/1337553/0001628280-19-002369.txt"
"10-K","AEROCENTURY CORP","1036848","2019-03-19","edgar/data/1036848/0001036848-19-000005.txt"
"10-K","AEROHIVE NETWORKS, INC","1372414","2019-03-01","edgar/data/1372414/0001372414-19-000010.txt"
"10-K","AEROJET ROCKETDYNE HOLDINGS, INC.","40888","2019-02-19","edgar/data/40888/0000040888-19-000004.txt"
"10-K","AES CORP","874761","2019-02-27","edgar/data/874761/0000874761-19-000012.txt"
"10-K","AFFILIATED MANAGERS GROUP, INC.","1004434","2019-02-22","edgar/data/1004434/0001004434-19-000008.txt"
"10-K","AFLAC INC","4977","2019-02-25","edgar/data/4977/0000004977-19-000049.txt"
"10-K","AFRIKA4U","1727815","2019-01-28","edgar/data/1727815/0001477932-19-000279.txt"
"10-K","AG Mortgage Investment Trust, Inc.","1514281","2019-02-27","edgar/data/1514281/0001514281-19-000022.txt"
"10-K","AGCO CORP /DE","880266","2019-03-01","edgar/data/880266/0000880266-19-000009.txt"
"10-K","AGENUS INC","1098972","2019-03-18","edgar/data/1098972/0001564590-19-008311.txt"
"10-K","AGILE THERAPEUTICS INC","1261249","2019-03-12","edgar/data/1261249/0001047469-19-001136.txt"
"10-K","AGILITI, INC. \DE","1749704","2019-03-08","edgar/data/1749704/0001558370-19-001695.txt"
"10-K","AGIOS PHARMACEUTICALS INC","1439222","2019-02-14","edgar/data/1439222/0001439222-19-000004.txt"
"10-K","AGNC Investment Corp.","1423689","2019-02-22","edgar/data/1423689/0001423689-19-000007.txt"
"10-K","AGREE REALTY CORP","917251","2019-02-21","edgar/data/917251/0001558370-19-000849.txt"
"10-K","AILERON THERAPEUTICS INC","1420565","2019-03-29","edgar/data/1420565/0001564590-19-010007.txt"
"10-K","AIMCO PROPERTIES L.P.","926660","2019-02-20","edgar/data/926660/0000922864-19-000007.txt"
"10-K","AIR LEASE CORP","1487712","2019-02-21","edgar/data/1487712/0001558370-19-000845.txt"
"10-K","AIRGAIN INC","1272842","2019-03-15","edgar/data/1272842/0001564590-19-008047.txt"
"10-K","AIRXPANDERS INC","1387156","2019-02-28","edgar/data/1387156/0001437749-19-003510.txt"
"10-K","AK STEEL HOLDING CORP","918160","2019-02-15","edgar/data/918160/0000918160-19-000041.txt"
"10-K","AKAMAI TECHNOLOGIES INC","1086222","2019-02-28","edgar/data/1086222/0001086222-19-000066.txt"
"10-K","AKCEA THERAPEUTICS, INC.","1662524","2019-03-01","edgar/data/1662524/0001564590-19-005745.txt"
"10-K","AKORN INC","3116","2019-03-01","edgar/data/3116/0001628280-19-002359.txt"
"10-K","ALABAMA POWER CO","3153","2019-02-20","edgar/data/3153/0000092122-19-000006.txt"
"10-K","ALAMO GROUP INC","897077","2019-03-01","edgar/data/897077/0000897077-19-000012.txt"
"10-K","ALASKA AIR GROUP, INC.","766421","2019-02-15","edgar/data/766421/0000766421-19-000008.txt"
"10-K","ALASKA COMMUNICATIONS SYSTEMS GROUP INC","1089511","2019-03-11","edgar/data/1089511/0001437749-19-004487.txt"
"10-K","ALBANY INTERNATIONAL CORP /DE/","819793","2019-03-14","edgar/data/819793/0000891092-19-002857.txt"
"10-K","ALBEMARLE CORP","915913","2019-02-27","edgar/data/915913/0000915913-19-000021.txt"
"10-K","ALBIREO PHARMA, INC.","1322505","2019-03-06","edgar/data/1322505/0001558370-19-001601.txt"
"10-K","ALDER BIOPHARMACEUTICALS INC","1423824","2019-02-25","edgar/data/1423824/0001564590-19-004084.txt"
"10-K","ALEXANDERS INC","3499","2019-02-11","edgar/data/3499/0000003499-19-000004.txt"
"10-K","ALEXANDRIA REAL ESTATE EQUITIES INC","1035443","2019-02-05","edgar/data/1035443/0001035443-19-000041.txt"
"10-K","ALEXION PHARMACEUTICALS, INC.","899866","2019-02-06","edgar/data/899866/0000899866-19-000010.txt"
"10-K","ALIGN TECHNOLOGY INC","1097149","2019-02-28","edgar/data/1097149/0001097149-19-000009.txt"
"10-K","ALIMERA SCIENCES INC","1267602","2019-02-25","edgar/data/1267602/0001267602-19-000043.txt"
"10-K","ALL FOR ONE MEDIA CORP.","1286459","2019-01-15","edgar/data/1286459/0001477932-19-000148.txt"
"10-K","ALLEGHANY CORP /DE","775368","2019-02-20","edgar/data/775368/0001193125-19-045528.txt"
